task_id,arrival_time,power_requirement_MW,duration_slots,executed,start_time
0,2023-06-01 00:00:00,0.5,1,True,2023-06-01 06:30:00
1,2023-06-01 00:00:03,2.4,9,True,2023-06-01 08:00:00
2,2023-06-01 00:00:05,0.8,1,True,2023-06-01 07:00:00
3,2023-06-01 00:00:21,0.8,1,True,2023-06-01 07:30:00
4,2023-06-01 00:00:21,0.8,1,True,2023-06-01 07:30:00
5,2023-06-01 00:00:36,0.8,1,True,2023-06-01 08:30:00
6,2023-06-01 00:00:41,0.2,23,True,2023-06-01 06:00:00
7,2023-06-01 00:00:51,0.5,1,True,2023-06-01 08:30:00
8,2023-06-01 00:01:05,0.5,1,True,2023-06-01 09:00:00
9,2023-06-01 00:01:07,2.4,9,True,2023-06-01 09:30:00
10,2023-06-01 00:01:15,0.8,1,True,2023-06-01 09:00:00
11,2023-06-01 00:01:38,0.8,1,True,2023-06-01 09:00:00
12,2023-06-01 00:01:39,0.8,1,True,2023-06-01 10:00:00
13,2023-06-01 00:01:49,0.5,1,True,2023-06-01 10:30:00
14,2023-06-01 00:01:50,0.5,1,True,2023-06-01 10:30:00
15,2023-06-01 00:03:58,0.5,2,True,2023-06-01 10:30:00
16,2023-06-01 00:04:17,0.8,1,True,2023-06-01 10:30:00
17,2023-06-01 00:04:19,0.2,1,True,2023-06-01 06:00:00
18,2023-06-01 00:04:56,0.5,1,True,2023-06-01 10:30:00
19,2023-06-01 00:04:58,0.4,1,True,2023-06-01 08:30:00
20,2023-06-01 00:05:08,0.8,1,True,2023-06-01 10:30:00
21,2023-06-01 00:05:12,1.6,1,True,2023-06-01 11:00:00
22,2023-06-01 00:05:14,0.2,33,False,
23,2023-06-01 00:05:20,0.4,25,True,2023-06-02 06:00:00
24,2023-06-01 00:05:49,0.8,1,True,2023-06-01 10:30:00
25,2023-06-01 00:05:51,0.5,1,True,2023-06-01 11:00:00
26,2023-06-01 00:05:55,0.8,2,True,2023-06-01 11:00:00
